NSESymbol,Name,ISIN,ListingDate,ICICISymbol,Active,Series,LotSize,IsFuture,X
20MICRONS,20 MICRONS LIMITED,INE144J01027,20081006,20MICR,TRUE,EQ,,,
20THCENFIN,20TH CENTURY FINANCE CORPORATION LTD.,,,,,,,,
21STCENMGM,TWENTYFIRST CENTURY MANAGEMENT,INE253B01015,19950503,TWECM,TRUE,EQ,,,
3IINFOLTD,3I INFOTECH LIMITED,INE748C01038,20211022,3IINFO,TRUE,EQ,,,
3IINFOTECH,3i Infotech Limited,INE748C01020,20050422,,,EQ,,,
3MINDIA,3M INDIA LIMITED,INE470A01017,20040813,3MIND,TRUE,EQ,,,
3PLAND,3P LAND HOLDINGS LTD,INE105C01023,19950719,PUDAGR,TRUE,EQ,,,
530609,Carnation Industries Limited,,,CARIND,,,,,
5PAISA,FIVE PAISA CAPITAL LIMITED,INE618L01018,20171116,5PACAP,TRUE,EQ,,,
63MOONS,63 MOONS TECHNOLOGIES LIMITED,INE111B01023,20050620,FINTEC,TRUE,EQ,,,
8KMILES,,,,,,,,,
A2ZINFRA,A2Z INFRA ENGINEERING LIMITED,INE619I01012,20101223,A2ZMAI,TRUE,EQ,,,
A2ZMES,A2Z MAINTENANCE & ENGINEERING SERVICES LIMITED,,,,,,,,
AAKASH,AAKASH EXPLORATION SERV LTD,INE087Z01016,20200929,AAKEXP,TRUE,BE,,,
AANJANEYA,AANJANEYA LIFECARE LIMITED,,,,,,,,
AAREYDRUGS,AAREY DRUGS & PHARMACEUTICALS,INE198H01019,20210806,AARDR,TRUE,EQ,,,
AARON,Aaron Industries Limited,INE721Z01010,20201106,AARIN,TRUE,EQ,,,
AARTIDRUGS,AARTI DRUGS LIMITED,INE767A01016,20030919,AARDRU,TRUE,EQ,,,
AARTIIND,AARTI INDUSTRIES LTD,INE769A01020,19950208,AARIND,TRUE,EQ,850,TRUE,
AARTISURF,AARTI SURFACTANTS LIMITED,INE09EO01013,20200714,AARSUR,TRUE,EQ,,,
