Date,Open,High,Low,Close,Adj Close,Volume
1/3/2012,405.25,411.700012,405.25,407.950012,343.177094,1521362
1/4/2012,407.600006,407.600006,392.75,395.450012,332.661835,2571970
1/5/2012,394.899994,398.850006,389.25,393.350006,330.895172,3679775
1/6/2012,393.75,399.649994,388.350006,396.799988,333.797455,1730249
1/7/2012,null,null,null,null,null,null
1/9/2012,394.299988,395.850006,390.5,393.450012,330.97934,1662954
1/10/2012,393.5,399,391.700012,395.450012,332.661835,1818282
1/11/2012,396.850006,398.700012,391.350006,392.5,330.180176,1313159
1/12/2012,393.75,397.100006,388.5,394.049988,331.483978,2145254
1/13/2012,393.899994,394.600006,390.200012,391.649994,329.465118,2414816
1/16/2012,391,391,385,386.350006,325.006622,2898804
1/17/2012,387.600006,399,385.700012,397.600006,334.470459,3985373
1/18/2012,399.5,399.5,388.5,392.25,329.969879,1875310
1/19/2012,394,395.299988,388,391.399994,329.254761,1924205
1/20/2012,392,393.649994,389.350006,391.149994,329.044464,1944382
1/23/2012,391.149994,402.649994,388.700012,395.649994,332.830017,2009356
1/24/2012,399.399994,399.450012,392,393.100006,330.684845,1785375
1/25/2012,393.5,399.100006,389.25,393.549988,331.063507,3214760
1/27/2012,399.950012,399.950012,384.100006,389.950012,328.035034,3014531
1/30/2012,388,390.899994,380,382.350006,321.641724,3357821
1/31/2012,384,384,374.350006,378.950012,318.781586,5410046
2/1/2012,379.75,386.350006,377.149994,384.75,323.660675,3629907
2/2/2012,386,393.450012,385.200012,390.700012,328.665955,3401946
2/3/2012,392.25,403.950012,391.049988,401.399994,337.667053,3661767
2/6/2012,405.899994,410.899994,384.600006,387.049988,325.595428,8152556
2/7/2012,388,388,378,382.149994,321.47348,6607892
2/8/2012,383,389.899994,382.5,388.549988,326.857391,2952882
2/9/2012,385.299988,394.700012,385.299988,393.350006,330.895172,1611262
2/10/2012,393,395,385.75,387.399994,325.889923,1192722
2/13/2012,388.399994,393.700012,387.100006,391.75,329.549225,1329643
2/14/2012,391.200012,393,388.5,391.850006,329.633331,1096306
2/15/2012,393.75,393.75,385,388.5,326.815247,2772667
2/16/2012,389,389,383.100006,384.049988,323.071777,1472742
2/17/2012,385.549988,388,381.200012,385.100006,323.955109,3128005
2/21/2012,386.799988,388.399994,381.049988,381.950012,321.305206,2314496
2/22/2012,381,383.5,376.100006,378.5,318.403046,2030557
